id,cause,district,state,severity,localupdatetime,advisorymessage,isbidirectional,trafficpattern,head_latitude,head_longitude,tail_latitude,tail_longitude,route,type
141642,Slushy with Slippery Sections,Okanagan Shuswap District,Ongoing,Normal,12/18/2012 16:35:06,"Slushy with Slippery Sections from Junction with Highway 97, in Vernon to 7 km east of Vernon (7.2 km). Updated Tue Dec 18 at 4:35 pm. (ID# 141642)",1,None,50.22479173,-119.1964985,50.26094,-119.2737536,Highway 6EW Both directions,Road Condition
122786,Muddy with Slippery Sections,Bulkley Stikine District,Ongoing,Normal,03/27/2012 12:05:44,Muddy with Slippery Sections from Glenora to Burnt Trailer-Tanzilla Access (74.2 km). Updated Tue Mar 27 at 12:05 pm. (ID# 122786),1,None,58.19262451,-130.688232,57.83694332,-131.3883674,Highway 51 Both directions,Road Condition
134676,Vehicle Incident,Bulkley Stikine District,Ongoing,Normal,08/22/2012 09:53:25,"Vehicle Incident with structure damage at Bell 2 Bridge, 93 kilometers north of Meziadin Junction. The road is reduced to single lane alternating traffic. Assesment in process. Updated on Wed Aug 22 at 9:53 am. (ID# 134676)",1,Single Lane Alternating Traffic,56.74383339,-129.7960401,56.74383339,-129.7960401,Highway 37 Both directions,Incident
135414,Compact Snow with Slippery Sections,Peace District,Ongoing,Normal,11/01/2012 12:21,Compact Snow with Slippery Sections from Junction with Highway 97 to British Columbia and Northwest Territory Border (138 km). Updated Thu Nov 1 at 12:21 pm. (ID# 135414),1,None,60.00288903,-122.9371064,58.90138194,-123.1253281,Highway 77 Both directions,Road Condition
136200,Debris on Road,Okanagan Shuswap District,Ongoing,Normal,10/31/2012 20:03:38,"Debris on Road from Junction with Highway 3, in Princeton to Gulliford Lake Rest Area (39.1 km). Updated on Wed Oct 31 at 8:03 pm. (ID# 136200)",1,None,49.76248347,-120.6439413,49.4581308,-120.5051882,Highway 5A Both directions,Incident
123706,Slippery Sections,Fort George District,Ongoing,Normal,01/05/2012 13:03,Slippery Sections from Fort Fraser to Bednesti (82.5 km). Updated Thu Jan 5 at 1:03 pm. (ID# 123706),1,None,53.88724769,-123.435307,54.06101005,-124.5526508,Highway 16 Both directions,Road Condition
139240,Slippery Sections,Okanagan Shuswap District,Ongoing,Normal,11/30/2012 05:00:57,Slippery Sections 7.5 km east of Lumby to 30 km west of Monashee Summit (31.6 km). Updated Fri Nov 30 at 5:00 am. (ID# 139240),1,None,50.17078142,-118.5255931,50.25082833,-118.8681705,Highway 6EW Both directions,Road Condition
125336,Slippery Sections,West Kootenay District,Ongoing,Normal,01/23/2012 01:53:25,"Slippery Sections from British Columbia and Washington Border, South of Rossland to Rossland (11.8 km). Updated Mon Jan 23 at 1:53 am. (ID# 125336)",1,None,49.07696396,-117.800281,49.00029063,-117.8315994,Highway 22 Both directions,Road Condition
131251,Slushy Sections,Lower Mainland District,Ongoing,Normal,03/13/2012 16:54:55,Slushy Sections from Function Junction at Alpha Lake Road to South End of Duffey Lake Road (46.3 km). Updated Tue Mar 13 at 4:54 pm. (ID# 131251),1,None,50.31641914,-122.7174198,50.08672171,-123.037054,Highway 99 Both directions,Road Condition
141108,Slushy Sections,West Kootenay District,Ongoing,Normal,12/24/2012 05:13:59,Slushy Sections from British Columbia and Washington border to Junction with Highway 3 (10.4 km). Updated Mon Dec 24 at 5:13 am. (ID# 141108),1,None,49.07548342,-117.2731909,48.99998902,-117.2992265,Highway 6NS Both directions,Road Condition
133615,Wildlife on Road,Okanagan Shuswap District,Ongoing,Normal,05/12/2012 14:07,Wildlife on Road from Junction Highway 97 in Monte Creek to 4 km east of Sorrento (53.1 km). Updated on Sat May 12 at 2:07 pm. (ID# 133615),1,None,50.87883495,-119.402333,50.64935685,-119.9554209,Highway 1 Both directions,Incident
131802,Frost Heaves,Bulkley Stikine District,Ongoing,Normal,04/22/2012 08:26:20,"Frost Heaves from Junction with Highway 16 at Kitwanga to Cranberry River, 76 kilometers north of Kitwanga (76.3 km). Updated Sun Apr 22 at 8:26 am. (ID# 131802)",1,None,55.60037376,-128.5440523,55.09647221,-128.0763565,Highway 37 Both directions,Road Condition
133217,Debris on Road,Rocky Mountain District,Ongoing,Normal,05/28/2012 06:27:42,Watch for falling rocks and potholes  from Revelstoke Dam to Mica Dam (141.3 km). Updated on Mon May 28 at 6:27 am. (ID# 133217),1,None,52.04700262,-118.5932295,51.04321366,-118.2040846,Highway 23 Both directions,Incident
-35446,Bridge Maintenance,Lower Mainland District,Ongoing,Normal,07/16/2012 06:35:01,"Bridge Deck Condition Survey 6 km north of Exit 177, Junction with Highway 3 near Hope 7:00 am to 7:00 pm Mon-Fri through Jul 25. Lane closure in effect. Updated on Mon Jul 16 at 6:35 am. (ID# -35446)",1,Lane Closure,49.39037567,-121.3187219,49.39037567,-121.3187219,Highway 5 Both directions,Current Planned
140993,Compact Snow with Slippery Sections,Thompson Nicola District,Ongoing,Normal,12/20/2012 03:43:04,"Compact Snow with Slippery Sections from Junction with Highway 97D, in Logan Lake to Junction with Highway 8 (41.9 km). Updated Thu Dec 20 at 3:43 am. (ID# 140993)",1,None,50.1369981,-120.8374858,50.48844159,-120.8320244,Highway 97C Both directions,Road Condition
135334,Compact Snow with Slippery Sections,Peace District,Ongoing,Normal,10/21/2012 15:55:34,"Compact Snow with Slippery Sections from Junction with Highway 39, south of MacKenzie to Taylor (299.7 km). Updated Sun Oct 21 at 3:55 pm. (ID# 135334)",1,None,56.12646873,-120.6633027,55.1193698,-122.9586183,Highway 97 Both directions,Road Condition
129250,Slushy Sections,Cariboo District,Ongoing,Normal,02/24/2012 20:41:30,Slushy Sections from Junction with Highway 97 North to 13 kilometers east of Bridge Lake (62.2 km). Updated Fri Feb 24 at 8:41 pm. (ID# 129250),1,None,51.47411806,-120.5554352,51.57695649,-121.3335993,Highway 24 Both directions,Road Condition
-31988,Construction,Okanagan Shuswap District,Ongoing,Normal,02/06/2012 9:40,"Construction between North Beach Rd & La Punta Norte 2 km North of Summerland. Monday February 6 to Friday February 10, 9:00am to 4:00pm. Updated on Mon Feb 6 at 9:40 am. (ID# -31988)",,None,49.60301985,-119.6657315,49.60301985,-119.6657315,Highway 97 Northbound,Current Planned
136235,Slushy with Slippery Sections,Cariboo District,Ongoing,Normal,11/01/2012 1:13,"Slushy with Slippery Sections from Riske Creek to Junction of Highway 97, at Williams Lake (47.3 km). Updated Thu Nov 1 at 1:13 am. (ID# 136235)",1,None,52.12744074,-122.1279559,51.96827891,-122.5322489,Highway 20 Both directions,Road Condition
